0,26799
1,19956
2,13452
3,17682
4,17954
5,20260
6,18819
7,23560
8,18214
9,15050
A,17512
B,17187
C,19751
D,30179
E,26556
F,18860
10,20312
11,27701
12,16168
13,14870
14,14733
15,14191
16,18083
17,18601
18,17239
19,16752
1A,16961
1B,27247
1C,15891
1D,13710
1E,14575
1F,12366
20,17079
21,21188
22,14379
23,19995
24,20486
25,27262
26,16467
27,15481
28,15225
29,16704
2A,20464
2B,18178
2C,15384
2D,13379
2E,14010
2F,29311
30,22107
31,20155
32,23245
33,14228
34,19508
35,20592
36,16723
37,13848
38,16880
39,34213
3A,28043
3B,28955
3C,21917
3D,23531
3E,20781
3F,21588
40,37508
41,37604
42,64394
43,76146
44,48256
45,31527
46,30920
47,30404
48,29024
49,27360
4A,30456
4B,21698
4C,13731
4D,26228
4E,15722
4F,14974
50,11992
51,10739
52,17455
53,14679
54,13395
55,11351
56,11817
57,21534
58,16111
59,12793
5A,11673
5B,11359
5C,17258
5D,14647
5E,13497
5F,10753
60,12627
61,21537
62,19825
63,16258
64,15945
65,14725
66,21475
67,20185
68,20369
69,19048
6A,17662
6B,20667
6C,21679
6D,19719
6E,17460
6F,16723
70,21766
71,18842
72,18344
73,16926
74,16462
75,26084
76,19473
77,16253
78,19943
79,22614
7A,23989
7B,21214
7C,20133
7D,18191
7E,20280
7F,27121
80,25458
81,21156
82,9175
83,17310
84,22830
85,17523
86,14641
87,10641
88,16108
89,20532
8A,17982
8B,21445
8C,10903
8D,18349
8E,21207
8F,27416
90,13667
91,8542
92,15588
93,21011
94,18001
95,23148
96,11216
97,17376
98,26980
99,19803
9A,15481
9B,14792
9C,15730
9D,19582
9E,21743
9F,20283
A0,15441
A1,18016
A2,22193
A3,16631
A4,14202
A5,6433
A6,12313
A7,15775
A8,9561
A9,18896
AA,8215
AB,13791
AC,22047
AD,12653
AE,7887
AF,8169
B0,11677
B1,21492
B2,12623
B3,17870
B4,7266
B5,12320
B6,19159
B7,12679
B8,9949
B9,6349
BA,11233
BB,12898
BC,10537
