0,227133
1,374045
2,17529
3,13165
4,27608
5,17610
6,23676
7,53776
8,24187
9,14194
A,24472
B,22498
C,30201
D,174725
E,47344
F,63809
10,35856
11,26642
12,19331
13,11199
14,18639
15,35280
16,253818
17,62071
18,34193
19,62101
1A,97797
1B,31315
1C,36959
1D,20220
1E,22862
1F,10822
20,16877
21,12571
22,20373
23,238065
24,242300
25,209791
26,192956
27,39167
28,19913
29,20041
2A,56528
2B,10872
2C,17020
2D,17816
2E,26524
2F,21050
30,21014
31,13813
32,56867
33,12128
34,18921
35,24239
36,20995
37,14457
38,22208
39,34740
3A,126575
3B,72349
3C,197030
3D,442030
3E,42015
3F,24942
40,92782
41,487408
42,1863077
43,1854253
44,675668
45,29566
46,36371
47,29504
48,27701
49,15986
4A,26068
4B,21405
4C,19035
4D,14496
4E,17097
4F,12739
50,17057
51,14519
52,28556
53,14495
54,22222
55,13250
56,20312
57,12759
58,17189
59,11231
5A,16459
5B,13428
5C,15204
5D,10723
5E,16500
5F,10986
60,16356
61,11555
62,17237
63,11848
64,17897
65,12586
66,24707
67,273659
68,272412
69,286999
6A,438524
6B,11710
6C,18501
6D,432944
6E,175603
6F,15167
70,21385
71,15047
72,20343
73,15153
74,21195
75,13993
76,19648
77,13792
78,21600
79,16651
7A,21169
7B,16395
7C,237684
7D,232668
7E,236443
7F,230553
80,73271
81,25272
82,32060
83,14212
84,32443
85,16605
86,29560
87,26001
88,34513
89,14706
8A,20982
8B,16527
8C,32911
8D,20239
8E,24542
8F,30086
90,18467
91,10620
92,18974
93,63779
94,50736
95,20815
96,106019
97,58756
98,94655
99,180678
9A,63020
9B,17968
9C,31359
9D,19256
9E,26850
9F,18942
A0,21932
A1,15260
A2,18738
A3,13643
A4,19235
A5,10204
A6,17941
A7,11703
A8,17071
A9,13060
AA,19270
AB,12240
AC,18695
AD,20274
AE,15554
AF,12341
B0,17427
B1,15539
B2,19287
B3,12996
B4,17198
B5,12382
B6,18641
B7,11579
B8,17790
B9,10485
BA,16805
BB,9890
BC,16541
BD,14564
BE,18080
BF,14019
C0,24180
C1,27351
C2,17749
C3,19249
C4,22593
C5,13406
C6,20955
C7,11574
C8,18904
C9,12445
CA,18143
CB,12514
CC,17019
CD,17889
CE,21113
CF,32733
D0,31556
D1,14211
D2,29964
D3,16943
D4,15455
D5,11917
D6,18297
D7,13109
D8,20905
D9,15515
DA,18313
DB,14077
DC,18248
DD,10605
DE,19431
DF,11985
E0,19501
E1,12618
E2,16942
E3,15986
E4,20829
E5,19922
E6,21356
E7,20359
E8,88790
E9,211897
EA,219207
EB,202127
EC,217971
ED,195636
EE,312868
EF,324923
F0,172965
F1,196603
F2,275092
F3,223583
