0,55487
1,45993
2,38286
3,41309
4,43952
5,39204
6,42113
7,44795
8,38360
9,37385
A,43187
B,38431
C,40130
D,42717
E,37863
F,40285
10,38547
11,37903
12,36354
13,49960
14,35006
15,49838
16,35847
17,34150
18,39328
19,44028
1A,38804
1B,38535
1C,36631
1D,37600
1E,38077
1F,36016
20,40048
21,37173
22,36043
23,39409
24,39812
25,36214
26,40401
27,36041
28,37541
29,46986
2A,49157
2B,35841
2C,33928
2D,34483
2E,37557
2F,36626
30,34268
31,37676
32,39613
33,34718
34,38519
35,40310
36,36603
37,37070
38,38096
39,46244
3A,40654
3B,38622
3C,40645
3D,42422
3E,38986
3F,36990
40,48295
41,44340
42,76517
43,73369
44,56274
45,51316
46,49513
47,41815
48,42557
49,37739
4A,43038
4B,39700
4C,37790
4D,38386
4E,36391
4F,38293
50,36083
51,35145
52,37182
53,35549
54,33343
55,37804
56,35614
57,34129
58,35763
59,36646
5A,36756
5B,35203
5C,34963
5D,36764
5E,36182
5F,33041
60,34633
61,36875
62,36972
63,34660
64,39675
65,38909
66,37523
67,40382
68,40378
69,44680
6A,40115
6B,46360
6C,37203
6D,39469
6E,37165
6F,37593
70,37492
71,40298
72,39166
73,38519
74,42769
75,39099
76,38770
77,39063
78,43549
79,41673
7A,42343
7B,37913
7C,43036
7D,40720
7E,33295
7F,34572
80,50260
81,35350
82,39105
83,36221
84,39949
85,39736
86,39833
87,42141
88,41400
89,41343
8A,40093
8B,38881
8C,40390
8D,38453
8E,39276
8F,42427
90,42241
91,41191
92,37876
93,37833
94,39997
95,38849
96,39206
97,36820
98,39466
99,41572
9A,39945
9B,39508
9C,40658
9D,42782
9E,40764
9F,39121
A0,41663
A1,41194
A2,42468
A3,40604
A4,36481
A5,38553
A6,37671
A7,37053
A8,36571
A9,38787
AA,42397
AB,40479
AC,38295
AD,38464
AE,36784
AF,40596
B0,39588
B1,40606
B2,37815
B3,39089
B4,38212
B5,40397
B6,38336
B7,34974
B8,37227
B9,37935
BA,34987
BB,34321
BC,37684
BD,40426
BE,38506
BF,36644
C0,40952
C1,43356
C2,37664
C3,43908
C4,44800
C5,44094
C6,46578
C7,42937
C8,42647
C9,38210
CA,41156
CB,39841
CC,41160
CD,43136
CE,43997
CF,53089
D0,50134
D1,39329
D2,54479
D3,38260
D4,42265
D5,38789
D6,40606
D7,40003
D8,40825
D9,45511
DA,40494
DB,37357
DC,36574
DD,36804
DE,37088
DF,37799
E0,39311
E1,39309
E2,39389
E3,42067
E4,37115
E5,38368
E6,36701
E7,38168
E8,36548
E9,39837
EA,40131
EB,41724
EC,40219
ED,38409
EE,46868
EF,51123
F0,51137
F1,52330
F2,43066
F3,43487
F4,44994
F5,44196
F6,40339
F7,43508
F8,42028
F9,39338
FA,38010
FB,40110
FC,44686
FD,50663
FE,45871
FF,43869
100,78151
101,49069
102,38939
103,40322
104,40026
105,38169
106,41156
107,44395
