0,72275
1,92316
2,105191
3,63600
4,40796
5,26105
6,24707
7,25638
8,26099
9,24504
A,28801
B,29452
C,29408
D,27422
E,27043
F,30010
10,30450
11,30057
12,23761
13,26932
14,27453
15,26086
16,32160
17,26849
18,33936
19,34706
1A,27458
1B,30303
1C,35945
1D,39854
1E,39224
1F,30136
20,37823
21,56416
22,89189
23,45300
24,33674
25,25494
26,22306
27,25029
28,26128
29,31073
2A,38001
2B,24413
2C,23577
2D,24244
2E,23125
2F,22704
30,21624
31,21393
32,25770
33,24311
34,25417
35,27686
36,23835
37,26162
38,35583
39,36640
3A,43810
3B,44767
3C,50695
3D,64920
3E,59651
3F,54787
40,55365
41,63251
42,109541
43,67395
44,51828
45,33185
46,32851
47,34388
48,26675
49,28390
4A,32817
4B,35110
4C,27881
4D,26785
4E,23870
4F,25153
50,24145
51,24727
52,25446
53,22969
54,23362
55,23362
56,24620
57,26419
58,28556
59,28935
5A,24392
5B,27851
5C,40068
5D,52462
5E,62686
5F,58559
60,44511
61,76061
62,94187
63,53991
64,33124
65,26259
66,26124
67,29344
68,28633
69,30145
6A,27059
6B,23943
6C,24027
6D,25342
6E,25382
6F,25913
70,26190
71,26577
72,26350
73,26647
74,26775
75,27661
76,25342
77,24869
78,29769
79,28749
7A,29875
7B,33434
7C,42858
7D,56396
7E,58888
7F,57912
80,54229
81,85623
82,49522
83,40253
84,34557
85,26236
86,24341
87,27451
88,27026
89,25197
8A,27653
8B,26590
8C,25575
8D,27860
8E,24523
8F,39357
90,27789
91,25811
92,26403
93,30601
94,29048
95,31256
96,29358
97,26935
98,30199
99,29456
9A,29668
9B,31431
9C,35438
9D,39204
9E,43982
9F,32966
A0,38707
A1,51660
A2,51453
A3,41671
A4,29809
A5,23333
A6,25947
A7,23539
A8,24253
A9,28489
AA,28647
AB,28581
AC,27157
AD,25639
AE,22063
AF,26191
B0,24388
B1,29784
B2,26271
B3,26296
B4,26803
B5,26564
B6,25993
B7,25570
B8,25030
B9,24196
BA,28238
BB,29635
BC,41627
BD,55766
BE,52501
BF,46158
C0,43812
C1,47278
C2,35304
C3,40839
C4,31199
C5,28830
C6,28495
C7,25102
C8,28402
C9,28346
CA,27788
CB,27863
CC,25036
CD,33784
CE,30167
CF,41815
D0,40382
D1,28632
D2,39049
D3,32828
D4,25899
D5,29321
D6,29082
D7,28538
D8,31586
D9,29398
DA,27517
DB,32683
DC,36972
DD,48479
DE,60842
DF,51796
E0,45095
E1,54394
E2,45403
E3,38544
E4,34484
E5,27616
E6,27006
E7,27661
E8,25067
E9,29446
EA,29710
EB,28629
EC,30639
ED,26709
EE,29658
EF,33643
F0,26876
F1,30148
F2,28500
F3,25812
F4,31029
F5,31308
F6,24676
F7,27506
F8,26363
F9,27045
FA,32384
FB,32544
FC,48483
FD,61165
FE,57202
FF,54007
100,72005
101,155327
102,138329
103,53092
104,37637
105,31136
106,28223
107,28575
108,29218
109,30337
10A,33913
10B,29131
10C,33931
10D,28736
10E,28393
10F,35806
110,32068
111,28463
112,28167
113,28352
114,29221
115,31944
116,28196
117,28182
118,36713
119,36940
11A,29217
11B,29363
11C,29998
11D,37667
11E,34332
11F,32273
120,40185
121,59526
122,82418
123,70256
124,32358
125,26365
126,27316
127,23160
128,32683
129,35893
12A,34182
12B,28168
12C,28300
12D,24084
12E,25919
12F,22580
130,24777
131,28191
132,24950
133,25064
134,26951
135,25919
136,23203
137,25994
138,24733
139,31159
13A,32523
13B,33899
13C,38589
13D,47585
13E,50841
13F,49067
140,44267
141,47559
142,69800
143,43461
144,31512
145,32015
146,27804
147,30598
148,28954
149,26082
14A,32829
14B,33008
14C,33508
14D,33362
14E,30830
14F,34434
150,32151
151,30490
152,33542
153,29741
154,37812
155,35688
156,29613
157,32419
158,31008
159,36728
15A,29654
15B,31851
15C,32239
15D,43295
15E,49463
15F,44866
160,54611
161,60769
162,83306
163,60974
164,37561
165,28795
166,28796
167,31118
168,32502
169,31547
16A,32753
16B,33612
16C,36398
16D,30717
16E,35830
16F,33511
170,31916
171,34144
172,29804
173,32729
174,31025
175,26936
176,28253
177,30335
178,32846
179,28726
17A,28265
17B,35001
17C,43754
17D,45614
17E,50275
17F,53863
180,66499
181,78711
182,67394
183,51563
184,28307
185,26822
186,26647
187,27053
188,29130
189,29904
18A,26257
18B,31408
18C,30192
18D,26540
18E,29180
18F,42318
190,34668
191,29853
192,30732
193,28143
194,30235
195,28852
196,32147
197,29882
198,27942
199,34765
19A,29505
19B,33377
19C,40422
19D,44010
19E,43934
19F,43440
1A0,41493
1A1,45548
1A2,48143
1A3,47224
1A4,26944
1A5,28908
1A6,25615
1A7,29567
1A8,26447
1A9,25138
1AA,29187
1AB,29903
1AC,29723
1AD,30688
1AE,25779
1AF,26245
1B0,35430
1B1,27181
1B2,28681
1B3,29683
1B4,27263
1B5,31644
1B6,31345
1B7,32003
1B8,36825
1B9,33459
1BA,30141
1BB,37644
1BC,47389
1BD,61807
1BE,64031
1BF,71954
1C0,47141
1C1,49429
1C2,37256
1C3,42421
1C4,32770
1C5,27019
1C6,32142
1C7,28707
1C8,27759
1C9,30804
1CA,28914
1CB,33055
1CC,28159
1CD,28507
1CE,34876
1CF,37239
1D0,37070
1D1,35196
1D2,35743
1D3,26694
1D4,29211
1D5,28051
1D6,32164
1D7,33733
1D8,29600
1D9,31192
1DA,30378
1DB,32416
1DC,43944
1DD,56039
1DE,65485
1DF,58917
1E0,44019
1E1,50227
1E2,46528
1E3,39754
1E4,27871
1E5,31751
1E6,28058
1E7,30875
1E8,27417
1E9,29034
1EA,31471
1EB,31472
1EC,28421
1ED,34443
1EE,31154
1EF,31996
1F0,31663
1F1,29647
1F2,34653
1F3,31842
1F4,30309
1F5,32249
1F6,33020
1F7,29801
1F8,34305
1F9,31009
1FA,33342
1FB,37006
1FC,47958
1FD,61746
1FE,68732
1FF,57333
200,69268
201,58444
202,43523
203,27215
204,28072
205,27061
206,29481
207,31630
208,32353
209,32061
20A,33572
20B,35479
20C,30742
20D,32253
20E,33511
20F,33854
210,35615
211,31617
212,35492
213,33715
214,28769
215,27616
216,35924
217,29948
218,41295
219,41746
21A,38002
21B,33348
21C,34018
21D,31543
21E,37241
21F,38481
220,39254
221,46506
222,47866
223,53298
224,45330
225,32731
226,28337
227,33414
228,29456
229,30313
22A,33163
22B,31999
22C,32016
22D,31123
22E,27936
22F,30316
230,26039
231,25411
232,30759
233,29040
234,28812
235,29496
236,29025
237,29311
238,34193
239,26345
23A,33281
23B,35678
23C,38629
23D,50288
23E,54239
23F,55121
240,46106
241,47973
242,32237
243,39055
244,30169
245,31039
246,30922
247,28494
248,34630
249,34022
24A,29250
24B,39870
24C,27171
24D,30397
24E,30369
24F,26631
250,28992
251,33596
252,30630
253,29669
254,28847
255,29592
256,32932
257,31169
258,27252
259,31475
25A,29861
25B,26845
25C,35074
25D,44893
25E,60592
25F,51114
260,51480
261,54357
262,53383
263,33887
264,28729
265,32096
266,27980
267,33981
268,26792
269,31885
26A,32476
26B,28319
26C,26773
26D,32748
26E,28332
26F,29783
270,27168
271,29421
272,32311
273,31146
274,27086
275,31481
276,31452
277,27314
278,30148
279,27669
27A,30122
27B,30965
27C,32344
27D,50281
27E,59778
27F,44381
280,67287
281,72535
282,47326
283,38679
284,38544
285,31531
286,31185
287,35206
288,34210
289,32560
28A,37221
28B,33376
28C,38830
28D,35121
28E,31926
28F,36832
290,32606
291,33276
292,31992
293,32984
294,31289
295,34529
296,31769
297,32630
298,34185
299,33772
29A,34457
29B,34473
29C,34533
29D,37191
29E,41474
29F,37464
2A0,46323
2A1,61405
2A2,47901
2A3,40068
2A4,33996
2A5,31345
2A6,33363
2A7,27591
2A8,30541
2A9,31854
2AA,32795
2AB,34649
2AC,32619
2AD,29818
2AE,31303
2AF,31678
2B0,34339
2B1,35581
2B2,29458
2B3,37872
2B4,33508
2B5,34407
2B6,45167
2B7,39698
2B8,43940
2B9,44389
2BA,34157
2BB,36701
2BC,50248
2BD,57715
2BE,59771
2BF,75412
2C0,51460
2C1,55803
2C2,35406
2C3,42376
2C4,42329
2C5,41444
2C6,37341
2C7,34353
2C8,36569
2C9,35799
2CA,36217
2CB,33605
2CC,37892
2CD,36260
2CE,32639
2CF,39713
2D0,35638
2D1,32091
2D2,33910
2D3,35026
2D4,31562
2D5,35954
2D6,30489
2D7,38030
2D8,36857
2D9,33569
2DA,31813
2DB,38133
2DC,41950
2DD,50736
2DE,56980
2DF,55618
2E0,53890
2E1,49202
2E2,49246
2E3,39614
2E4,38876
2E5,35210
2E6,34902
2E7,33688
2E8,34604
2E9,38088
2EA,35214
2EB,39281
2EC,37687
2ED,34787
2EE,36381
2EF,38219
2F0,36448
2F1,36913
2F2,33769
2F3,32093
2F4,35586
2F5,34185
2F6,30130
2F7,34587
2F8,31908
2F9,32429
2FA,32808
2FB,34013
2FC,45053
2FD,50338
2FE,52509
2FF,53985
300,93590
301,89186
302,30638
303,34535
304,31807
305,28722
306,35397
307,28864
308,33318
309,33529
30A,32761
30B,33459
30C,39034
30D,32400
30E,31958
30F,37329
310,34178
311,33120
312,29504
313,29634
314,32870
315,31464
316,33501
317,33161
318,34171
319,31409
31A,27445
31B,31835
31C,33826
31D,37068
31E,36305
31F,41662
320,64255
321,68923
322,42930
323,44389
324,31971
325,30959
326,28254
327,28719
328,36211
329,29427
32A,29478
32B,34448
32C,30253
32D,32188
32E,29451
32F,26655
330,30068
331,28480
332,33138
333,40974
334,31960
335,31230
336,25722
337,30953
338,43748
339,32638
33A,40309
33B,33825
33C,39394
33D,43325
33E,47851
33F,51915
340,55350
341,52001
342,32268
343,35923
344,39347
345,30832
346,32307
347,35533
348,33723
349,29955
34A,36606
34B,38796
34C,34112
34D,30347
34E,33021
34F,32806
350,28297
351,30218
352,36676
353,33280
354,37556
355,36818
356,30414
357,35052
358,35458
359,35186
35A,30109
35B,31574
35C,30284
35D,36542
35E,49026
35F,52486
360,66545
361,68472
362,46621
363,54174
364,33438
365,38573
366,33986
367,36306
368,36469
369,37528
36A,35300
36B,35983
36C,36083
36D,28461
36E,36522
36F,37472
370,36038
371,35720
372,34448
373,37881
374,32061
375,32562
376,36763
377,35636
378,34719
379,33788
37A,34980
37B,38837
37C,42707
37D,55866
37E,61437
37F,61814
380,96194
381,170309
382,87301
383,41528
384,30395
385,28128
386,27435
387,27940
388,31894
389,33702
38A,30624
38B,31984
38C,34717
38D,31675
38E,33929
38F,46276
390,36493
391,34849
392,37490
393,34400
394,36049
395,35300
396,34385
397,34930
398,32868
399,35500
39A,34416
39B,33619
39C,37188
39D,46520
39E,48404
39F,45320
3A0,58028
3A1,90586
3A2,84525
3A3,43136
3A4,27353
3A5,30179
3A6,28304
3A7,28023
3A8,29911
3A9,27656
3AA,31803
3AB,31498
3AC,31738
3AD,32527
3AE,34322
3AF,29594
3B0,33564
3B1,31351
3B2,34848
3B3,34280
3B4,30024
3B5,33643
3B6,35475
3B7,34449
3B8,40753
3B9,33370
3BA,31982
3BB,37732
3BC,43946
3BD,61366
3BE,62847
3BF,61091
3C0,58040
3C1,81975
3C2,92863
3C3,38970
3C4,34236
3C5,31578
3C6,32919
3C7,30941
3C8,36366
3C9,35753
3CA,34454
3CB,32319
3CC,39729
3CD,33883
3CE,35919
3CF,36158
3D0,32480
3D1,38112
3D2,45537
3D3,32971
3D4,41851
3D5,34525
3D6,31650
3D7,36381
3D8,32880
3D9,32718
3DA,32597
3DB,30891
3DC,41441
3DD,55657
3DE,58150
3DF,60957
3E0,62569
3E1,90991
3E2,128212
3E3,59411
3E4,32652
3E5,37733
3E6,31347
3E7,32141
3E8,34456
3E9,37448
3EA,36886
3EB,35276
3EC,34200
3ED,34162
3EE,42704
3EF,39815
3F0,38137
3F1,35475
3F2,38094
3F3,37448
3F4,35777
3F5,33431
3F6,33600
3F7,30391
3F8,33735
3F9,33886
3FA,30777
3FB,38166
3FC,44836
3FD,51925
3FE,55834
3FF,58928
