0,231824,500349
0,224730,542214
0,221131,491414
0,232040,501494
0,222696,514519
0,231490,524296
0,229822,513071
0,220107,480664
0,218890,481073
0,219529,493922
0,234019,485557
0,234954,531088
0,223021,485274
0,226769,498209
0,239609,547890
0,228151,532994
1,216508,414577
1,203374,418164
1,210205,440056
1,203112,406688
1,213829,452364
1,213773,428459
1,212342,427190
1,195589,412505
1,210822,420176
1,215136,428111
1,212423,421672
1,212657,420244
1,201366,407912
1,219928,443981
1,218542,444120
1,207370,416634
2,205875,398692
2,207136,399354
2,201085,401734
2,193964,384045
2,193107,382842
2,198165,406496
2,201334,397633
2,204906,381465
2,209117,400371
2,206183,410681
2,209058,396474
2,195306,381183
2,196304,383821
2,202139,399651
2,198729,399383
2,197132,394608
3,206243,423430
3,203913,441969
3,205049,405944
3,197111,428040
3,209630,427534
3,210437,443692
3,201200,413839
3,200916,413558
3,195831,413777
3,208379,416330
3,200494,413638
3,192913,412077
3,192284,409910
3,201848,422582
3,203347,410308
3,202303,406815
4,186144,359799
4,200159,385011
4,208779,405889
4,201344,394608
4,210764,408015
4,195165,380957
4,202305,391086
4,142071,294802
4,197925,372675
4,199129,382186
4,208432,399265
4,212432,404335
4,216562,411572
4,206412,391847
4,211123,404090
4,202476,394405
5,199895,368614
5,194857,373279
5,191046,372318
5,203117,377937
5,200888,378081
5,190895,373569
5,198643,373796
5,201497,385331
5,194466,376920
5,192018,365080
5,203898,379647
5,192925,372046
5,191409,367929
5,196327,373744
5,195727,376751
5,192752,368157
6,206750,390507
6,206173,393398
6,204088,389103
6,203631,383974
6,196087,384790
6,197933,387625
6,199106,391744
6,207216,395179
6,203280,386127
6,209578,400387
6,209567,390454
6,208475,407445
6,201963,394441
6,207473,391627
6,204081,386123
6,203434,382889
7,207810,388457
7,197281,375094
7,189062,355892
7,210319,394454
7,131240,265307
7,206672,387133
7,191490,365160
7,173685,334139
7,178272,339996
7,209927,395306
7,209603,391366
7,209204,394595
7,207815,393773
7,204086,377192
7,197375,364985
7,210064,379280
8,200075,401560
8,198693,381252
8,207947,384602
8,201854,389479
8,200063,385140
8,198972,383437
8,208783,401367
8,205277,390922
8,205427,391916
8,202756,392891
8,205030,386315
8,209962,400195
8,203573,396419
8,204650,403484
8,198870,387827
8,204535,392971
9,207176,391427
9,201926,384883
9,201072,397943
9,205790,375673
9,207589,390354
9,202677,387333
9,205400,397753
9,208103,400491
9,199304,395725
9,198044,380185
9,196958,378496
9,207014,404215
9,200053,381951
9,208613,407080
9,209970,395970
9,213465,395196
A,200852,387234
A,185831,378330
A,196992,388822
A,204590,389005
A,194309,382460
A,203097,397489
A,196363,387510
A,196082,382427
A,199388,391217
A,206955,392010
A,202756,405572
A,198489,392757
A,199852,402805
A,198844,390238
A,187904,379399
A,204466,386409
B,209798,397310
B,200215,375395
B,197411,383849
B,193620,384180
B,201900,401009
B,198709,396714
B,195448,390283
B,205023,398126
B,195341,372012
B,201649,389853
B,198976,380520
B,198675,406528
B,201263,389973
B,199784,389361
B,198225,400397
B,207020,399213
C,189141,389412
C,194344,390607
C,199131,385441
C,197159,380050
C,191507,382530
C,198074,393444
C,204039,394123
C,196176,377257
C,202620,401296
C,201878,385762
C,199701,387704
C,205817,399444
C,195635,382936
C,204749,396600
C,197788,395288
C,205271,377569
D,199664,377590
D,201066,376593
D,197457,389795
D,198855,387554
D,198770,390986
D,198087,362747
D,206677,388653
D,199761,377167
D,207771,398496
D,197676,381063
D,191386,362914
D,210460,390036
D,203868,385260
D,187207,358398
D,193191,369968
D,212215,396764
E,190641,372345
E,192486,358360
E,192975,370966
E,190742,371542
E,195484,370691
E,185439,361135
E,197426,368237
E,193448,353298
E,195744,367525
E,193196,365015
E,201900,377575
E,197231,362961
E,198005,377883
E,191159,364161
E,185895,354920
E,199083,359120
F,197916,383640
F,202386,382516
F,189958,366365
F,197502,382771
F,190101,357275
F,192054,368500
F,189831,366500
F,193113,378006
F,196313,388895
F,192786,375441
F,203786,384277
F,197975,388313
F,203014,396864
F,196203,379325
F,193831,379139
F,191870,374598
10,195657,379352
10,197337,372318
10,193339,397652
10,198806,375710
10,193369,368763
10,189014,361489
10,199649,376446
10,191807,368269
10,199065,383774
10,194048,375607
10,187678,370178
10,188389,364976
10,193347,380370
10,190429,374528
10,191897,370683
10,192076,372490
11,204174,375083
11,202260,384864
11,84808,193491
11,196350,374381
11,201467,371532
11,195336,367077
11,199386,366122
11,194168,369146
11,180998,336016
11,199212,358653
11,199002,372019
11,138615,268684
11,196017,362739
11,206010,378656
11,198037,380429
11,205839,380285
12,199662,374129
12,202947,375287
12,189144,355371
12,196438,366436
12,191641,356733
12,161785,311354
12,151601,297896
12,186736,365204
12,192582,370322
12,199804,369698
12,196827,373796
12,206428,385101
12,174581,331839
12,159387,317720
12,200791,369477
12,188407,355744
13,197785,371115
13,210657,400786
13,204165,383541
13,8325,51253
13,192424,375744
13,202134,380271
13,201081,386746
13,205662,384747
13,203516,367331
13,199855,376707
13,195480,377584
13,198745,372794
13,201321,383558
13,195954,374964
13,205842,392649
13,214249,387458
14,189005,383493
14,190844,362656
